id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
35,<span class='from'>c</span><span class='from'>o</span><span class='from'>n</span><span class='from'>c</span><span class='from'>e</span><span class='from'>r</span><span class='from'>t</span><span class='from'>i</span><span class='from'>n</span><span class='from'>a</span>,<span class='from'>c</span><span class='from'>h</span><span class='from'>e</span><span class='from'>c</span><span class='from'>k</span><span class='from'>e</span><span class='from'>r</span><span class='from'>b</span><span class='from'>o</span><span class='from'>a</span><span class='from'>r</span><span class='from'>d</span>,<span class='from'>h</span><span class='from'>a</span><span class='from'>z</span><span class='from'>a</span><span class='from'>r</span><span class='from'>d</span><span class='from'>e</span><span class='from'>d</span>,<span class='from'>l</span><span class='from'>a</span><span class='from'>n</span><span class='from'>d</span><span class='from'>s</span><span class='from'>l</span><span class='from'>i</span><span class='from'>d</span><span class='from'>i</span><span class='from'>n</span><span class='from'>g</span>,<span class='from'>m</span><span class='from'>o</span><span class='from'>l</span><span class='from'>e</span><span class='from'>s</span><span class='from'>t</span><span class='from'>i</span><span class='from'>n</span><span class='from'>g</span>,<span class='from'>a</span><span class='from'>l</span><span class='from'>b</span><span class='from'>u</span><span class='from'>m</span><span class='from'>e</span><span class='from'>n</span>,<span class='from'>r</span><span class='from'>e</span><span class='from'>f</span><span class='from'>a</span><span class='from'>s</span><span class='from'>h</span><span class='from'>i</span><span class='from'>o</span><span class='from'>n</span>,<span class='from'>c</span><span class='from'>r</span><span class='from'>u</span><span class='from'>e</span><span class='from'>l</span><span class='from'>l</span><span class='from'>e</span><span class='from'>s</span><span class='from'>t</span>,<span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span>,<span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span>,<span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span>,<span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span>,<span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span>,<span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span>,<span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span>,<span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span><span class='to'>qj</span>,superpowers,qjqjqjqjqjqjqjqjqjqjqj,(no hint for this problem)
36,unprotected,<span class='from'>c</span>orrupting,<span class='from'>s</span>tipulate,<span class='from'>r</span>ecopies,<span class='from'>r</span>unaways,<span class='from'>c</span>ousin,<span class='from'>p</span>roviso,<span class='from'>s</span>utured,unprotected,<span class='to'>pi</span>orrupting,<span class='to'>pi</span>tipulate,<span class='to'>pi</span>ecopies,<span class='to'>pi</span>unaways,<span class='to'>pi</span>ousin,<span class='to'>pi</span>roviso,<span class='to'>pi</span>utured,spermicide,pipermicide,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
37,do<span class='from'>g</span>trotted,wadi,seriousness,shillin<span class='from'>g</span>,<span class='from'>g</span>irlfriends,reenforces,carna<span class='from'>g</span>e,burbles,do<span class='to'>qg</span>trotted,wadi,seriousness,shillin<span class='to'>qg</span>,<span class='to'>qg</span>irlfriends,reenforces,carna<span class='to'>qg</span>e,burbles,unlucky,unlucky,(no hint for this problem)
38,l<span class='from'>if</span><span class='from'>eb</span>l<span class='from'>oo</span>d,r<span class='from'>ea</span>rs,r<span class='from'>od</span><span class='from'>eo</span>,<span class='from'>id</span>yll,<span class='from'>in</span>v<span class='from'>er</span>t<span class='from'>in</span>g,p<span class='from'>es</span>k<span class='from'>ie</span>r,s<span class='from'>ix</span>ths,n<span class='from'>eg</span>l<span class='from'>ig</span><span class='from'>en</span>t,l<span class='to'>vg</span><span class='to'>vg</span>l<span class='to'>vg</span>d,r<span class='to'>vg</span>rs,r<span class='to'>vg</span><span class='to'>vg</span>,<span class='to'>vg</span>yll,<span class='to'>vg</span>v<span class='to'>vg</span>t<span class='to'>vg</span>g,p<span class='to'>vg</span>k<span class='to'>vg</span>r,s<span class='to'>vg</span>ths,n<span class='to'>vg</span>l<span class='to'>vg</span><span class='to'>vg</span>t,freshmen,frvghmvg,look at <b>vowels</b>
39,sneered,<span class='from'>c</span>oppery,snappish,misadventures,<span class='from'>c</span>harges,dis<span class='from'>c</span>omposure,<span class='from'>c</span>onvales<span class='from'>c</span>ing,unpa<span class='from'>c</span>ks,sneered,<span class='to'>dc</span>oppery,snappish,misadventures,<span class='to'>dc</span>harges,dis<span class='to'>dc</span>omposure,<span class='to'>dc</span>onvales<span class='to'>dc</span>ing,unpa<span class='to'>dc</span>ks,overstaying,overstaying,(no hint for this problem)
40,gyrate,manufacturer,<span class='from'>a</span>lluvial,<span class='from'>e</span>lectrician,<span class='from'>e</span>mphatic,<span class='from'>o</span>vercompensated,<span class='from'>e</span>nraged,<span class='from'>i</span>ncapability,gyrate,manufacturer,<span class='to'>es</span>lluvial,<span class='to'>es</span>lectrician,<span class='to'>es</span>mphatic,<span class='to'>es</span>vercompensated,<span class='to'>es</span>nraged,<span class='to'>es</span>ncapability,implicate,esmplicate,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
41,<span class='from'>u</span><span class='from'>n</span><span class='from'>c</span><span class='from'>h</span><span class='from'>a</span><span class='from'>r</span><span class='from'>a</span><span class='from'>c</span><span class='from'>t</span><span class='from'>e</span><span class='from'>r</span><span class='from'>i</span><span class='from'>s</span><span class='from'>t</span><span class='from'>i</span><span class='from'>c</span><span class='from'>a</span><span class='from'>l</span><span class='from'>l</span><span class='from'>y</span>,<span class='from'>s</span><span class='from'>c</span><span class='from'>o</span><span class='from'>f</span><span class='from'>f</span><span class='from'>e</span><span class='from'>d</span>,<span class='from'>v</span><span class='from'>e</span><span class='from'>n</span><span class='from'>t</span><span class='from'>r</span><span class='from'>i</span><span class='from'>l</span><span class='from'>o</span><span class='from'>q</span><span class='from'>u</span><span class='from'>i</span><span class='from'>s</span><span class='from'>m</span>,<span class='from'>l</span><span class='from'>e</span><span class='from'>g</span><span class='from'>a</span><span class='from'>t</span><span class='from'>o</span><span class='from'>s</span>,<span class='from'>p</span><span class='from'>u</span><span class='from'>r</span><span class='from'>i</span><span class='from'>t</span><span class='from'>a</span><span class='from'>n</span><span class='from'>i</span><span class='from'>s</span><span class='from'>m</span>,<span class='from'>d</span><span class='from'>i</span><span class='from'>v</span><span class='from'>i</span><span class='from'>s</span><span class='from'>i</span><span class='from'>b</span><span class='from'>l</span><span class='from'>e</span>,<span class='from'>h</span><span class='from'>a</span><span class='from'>c</span><span class='from'>k</span><span class='from'>n</span><span class='from'>e</span><span class='from'>y</span>,<span class='from'>b</span><span class='from'>r</span><span class='from'>i</span><span class='from'>d</span><span class='from'>l</span><span class='from'>e</span>,<span class='to'>uv</span><span class='to'>nv</span><span class='to'>cv</span><span class='to'>hv</span><span class='to'>av</span><span class='to'>rv</span><span class='to'>av</span><span class='to'>cv</span><span class='to'>tv</span><span class='to'>ev</span><span class='to'>rv</span><span class='to'>iv</span><span class='to'>sv</span><span class='to'>tv</span><span class='to'>iv</span><span class='to'>cv</span><span class='to'>av</span><span class='to'>lv</span><span class='to'>lv</span><span class='to'>yv</span>,<span class='to'>sv</span><span class='to'>cv</span><span class='to'>ov</span><span class='to'>fv</span><span class='to'>fv</span><span class='to'>ev</span><span class='to'>dv</span>,<span class='to'>vv</span><span class='to'>ev</span><span class='to'>nv</span><span class='to'>tv</span><span class='to'>rv</span><span class='to'>iv</span><span class='to'>lv</span><span class='to'>ov</span><span class='to'>qv</span><span class='to'>uv</span><span class='to'>iv</span><span class='to'>sv</span><span class='to'>mv</span>,<span class='to'>lv</span><span class='to'>ev</span><span class='to'>gv</span><span class='to'>av</span><span class='to'>tv</span><span class='to'>ov</span><span class='to'>sv</span>,<span class='to'>pv</span><span class='to'>uv</span><span class='to'>rv</span><span class='to'>iv</span><span class='to'>tv</span><span class='to'>av</span><span class='to'>nv</span><span class='to'>iv</span><span class='to'>sv</span><span class='to'>mv</span>,<span class='to'>dv</span><span class='to'>iv</span><span class='to'>vv</span><span class='to'>iv</span><span class='to'>sv</span><span class='to'>iv</span><span class='to'>bv</span><span class='to'>lv</span><span class='to'>ev</span>,<span class='to'>hv</span><span class='to'>av</span><span class='to'>cv</span><span class='to'>kv</span><span class='to'>nv</span><span class='to'>ev</span><span class='to'>yv</span>,<span class='to'>bv</span><span class='to'>rv</span><span class='to'>iv</span><span class='to'>dv</span><span class='to'>lv</span><span class='to'>ev</span>,decimates,dvevcvivmvavtvevsv,(no hint for this problem)
42,<span class='from'>co</span>ols,anesthesiologists,<span class='from'>cu</span>ltivators,<span class='from'>mu</span>lticultural,<span class='from'>me</span>lodious,<span class='from'>re</span>doubtable,<span class='from'>di</span>rges,<span class='from'>lo</span>ck,<span class='to'>gco</span>ols,anesthesiologists,<span class='to'>gcu</span>ltivators,<span class='to'>gmu</span>lticultural,<span class='to'>gme</span>lodious,<span class='to'>gre</span>doubtable,<span class='to'>gdi</span>rges,<span class='to'>glo</span>ck,sponge,sponge,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b></li><li>look at <b>consonants</b>
43,pecul<span class='from'>i</span>ar<span class='from'>i</span>ty,lander,leash,d<span class='from'>i</span>chotomy,mann<span class='from'>i</span>k<span class='from'>i</span>n,<span class='from'>i</span>ndestruct<span class='from'>i</span>bly,depos<span class='from'>i</span>ng,elopements,pecul<span class='to'>kt</span>ar<span class='to'>kt</span>ty,lander,leash,d<span class='to'>kt</span>chotomy,mann<span class='to'>kt</span>k<span class='to'>kt</span>n,<span class='to'>kt</span>ndestruct<span class='to'>kt</span>bly,depos<span class='to'>kt</span>ng,elopements,motorcycled,motorcycled,(no hint for this problem)
44,<span class='from'>p</span>e<span class='from'>r</span><span class='from'>d</span>i<span class='from'>t</span>io<span class='from'>n</span>,<span class='from'>m</span>i<span class='from'>l</span><span class='from'>d</span>e<span class='from'>s</span><span class='from'>t</span>,i<span class='from'>n</span><span class='from'>t</span><span class='from'>r</span>e<span class='from'>p</span>i<span class='from'>d</span>,<span class='from'>f</span><span class='from'>r</span>o<span class='from'>s</span><span class='from'>t</span><span class='from'>y</span>,<span class='from'>n</span>eo<span class='from'>p</span><span class='from'>h</span><span class='from'>y</span><span class='from'>t</span>e,u<span class='from'>p</span><span class='from'>c</span><span class='from'>h</span>u<span class='from'>c</span><span class='from'>k</span><span class='from'>s</span>,<span class='from'>c</span>o<span class='from'>p</span>u<span class='from'>l</span>a<span class='from'>t</span>e<span class='from'>s</span>,<span class='from'>r</span>e<span class='from'>v</span>e<span class='from'>r</span><span class='from'>s</span>a<span class='from'>l</span>,<span class='to'>px</span>e<span class='to'>px</span><span class='to'>px</span>i<span class='to'>px</span>io<span class='to'>px</span>,<span class='to'>px</span>i<span class='to'>px</span><span class='to'>px</span>e<span class='to'>px</span><span class='to'>px</span>,i<span class='to'>px</span><span class='to'>px</span><span class='to'>px</span>e<span class='to'>px</span>i<span class='to'>px</span>,<span class='to'>px</span><span class='to'>px</span>o<span class='to'>px</span><span class='to'>px</span><span class='to'>px</span>,<span class='to'>px</span>eo<span class='to'>px</span><span class='to'>px</span><span class='to'>px</span><span class='to'>px</span>e,u<span class='to'>px</span><span class='to'>px</span><span class='to'>px</span>u<span class='to'>px</span><span class='to'>px</span><span class='to'>px</span>,<span class='to'>px</span>o<span class='to'>px</span>u<span class='to'>px</span>a<span class='to'>px</span>e<span class='to'>px</span>,<span class='to'>px</span>e<span class='to'>px</span>e<span class='to'>px</span><span class='to'>px</span>a<span class='to'>px</span>,boatswain,pxoapxpxpxaipx,look at <b>consonants</b>
45,s<span class='from'>a</span>nd<span class='from'>a</span>l,w<span class='from'>i</span>sh<span class='from'>e</span>s,f<span class='from'>o</span>r<span class='from'>e</span>w<span class='from'>a</span>rn<span class='from'>e</span>d,<span class='from'>u</span>nc<span class='from'>o</span>ns<span class='from'>i</span>d<span class='from'>e</span>r<span class='from'>e</span>d,b<span class='from'>e</span>llh<span class='from'>o</span>ps,<span class='from'>e</span><span class='from'>a</span>rn<span class='from'>e</span>stly,s<span class='from'>a</span>l<span class='from'>a</span>ry,d<span class='from'>i</span>sl<span class='from'>o</span>dg<span class='from'>i</span>ng,s<span class='to'>an</span>nd<span class='to'>an</span>l,w<span class='to'>in</span>sh<span class='to'>en</span>s,f<span class='to'>on</span>r<span class='to'>en</span>w<span class='to'>an</span>rn<span class='to'>en</span>d,<span class='to'>un</span>nc<span class='to'>on</span>ns<span class='to'>in</span>d<span class='to'>en</span>r<span class='to'>en</span>d,b<span class='to'>en</span>llh<span class='to'>on</span>ps,<span class='to'>en</span><span class='to'>an</span>rn<span class='to'>en</span>stly,s<span class='to'>an</span>l<span class='to'>an</span>ry,d<span class='to'>in</span>sl<span class='to'>on</span>dg<span class='to'>in</span>ng,lorry,lonrry,look at <b>vowels</b>
