id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
1036,<span class='from'>se</span>r<span class='from'>ri</span>ed,<span class='from'>co</span>n<span class='from'>si</span>g<span class='from'>ne</span>d,<span class='from'>su</span><span class='from'>pe</span><span class='from'>ra</span>n<span class='from'>nu</span>a<span class='from'>te</span>,<span class='from'>de</span>p<span class='from'>lo</span><span class='from'>re</span>s,ex<span class='from'>ha</span><span class='from'>li</span>ng,<span class='from'>co</span>a<span class='from'>le</span>s<span class='from'>ce</span>s,<span class='from'>mu</span>s<span class='from'>ki</span><span class='from'>ne</span>ss,<span class='from'>be</span><span class='from'>to</span><span class='from'>ke</span>n,<span class='to'>gse</span>r<span class='to'>gri</span>ed,<span class='to'>gco</span>n<span class='to'>gsi</span>g<span class='to'>gne</span>d,<span class='to'>gsu</span><span class='to'>gpe</span><span class='to'>gra</span>n<span class='to'>gnu</span>a<span class='to'>gte</span>,<span class='to'>gde</span>p<span class='to'>glo</span><span class='to'>gre</span>s,ex<span class='to'>gha</span><span class='to'>gli</span>ng,<span class='to'>gco</span>a<span class='to'>gle</span>s<span class='to'>gce</span>s,<span class='to'>gmu</span>s<span class='to'>gki</span><span class='to'>gne</span>ss,<span class='to'>gbe</span><span class='to'>gto</span><span class='to'>gke</span>n,throws,thgrows,look at <b>vowels</b>
1037,outings,<span class='from'>b</span>aobab,<span class='from'>w</span>angles,<span class='from'>v</span>ariation,<span class='from'>t</span>hicker,obligating,<span class='from'>v</span>intage,<span class='from'>t</span>urf,outings,<span class='to'>pf</span>aobab,<span class='to'>pf</span>angles,<span class='to'>pf</span>ariation,<span class='to'>pf</span>hicker,obligating,<span class='to'>pf</span>intage,<span class='to'>pf</span>urf,domineers,pfomineers,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1038,devou<span class='from'>rs</span>,glamouro<span class='from'>us</span>,syllabi<span class='from'>fy</span>,fuddl<span class='from'>es</span>,ambivalen<span class='from'>ce</span>,roadsi<span class='from'>de</span>,evict<span class='from'>ed</span>,sponsori<span class='from'>ng</span>,devou<span class='to'>td</span>,glamouro<span class='to'>td</span>,syllabi<span class='to'>td</span>,fuddl<span class='to'>td</span>,ambivalen<span class='to'>td</span>,roadsi<span class='to'>td</span>,evict<span class='to'>td</span>,sponsori<span class='to'>td</span>,franchisers,franchisetd,look at the <b>end</b> of the word
1039,s<span class='from'>ha</span>nty<span class='from'>to</span>wns,<span class='from'>go</span><span class='from'>ne</span>,est<span class='from'>ra</span>n<span class='from'>ge</span><span class='from'>me</span>nts,<span class='from'>to</span><span class='from'>re</span>,out<span class='from'>wi</span>t<span class='from'>ti</span>ng,en<span class='from'>to</span>u<span class='from'>ra</span><span class='from'>ge</span>,e<span class='from'>vo</span><span class='from'>lu</span><span class='from'>ti</span>on,<span class='from'>wa</span>sh<span class='from'>bo</span>wls,s<span class='to'>hao</span>nty<span class='to'>too</span>wns,<span class='to'>goo</span><span class='to'>neo</span>,est<span class='to'>rao</span>n<span class='to'>geo</span><span class='to'>meo</span>nts,<span class='to'>too</span><span class='to'>reo</span>,out<span class='to'>wio</span>t<span class='to'>tio</span>ng,en<span class='to'>too</span>u<span class='to'>rao</span><span class='to'>geo</span>,e<span class='to'>voo</span><span class='to'>luo</span><span class='to'>tio</span>on,<span class='to'>wao</span>sh<span class='to'>boo</span>wls,enumeration,enuomeoraotioon,look at <b>vowels</b></li><li>look at <b>consonants</b>
1040,whac<span class='from'>k</span>,rounde<span class='from'>r</span>,mentalitie<span class='from'>s</span>,somnambulist<span class='from'>s</span>,tranqui<span class='from'>l</span>,featherin<span class='from'>g</span>,reversin<span class='from'>g</span>,kisser<span class='from'>s</span>,whac<span class='to'>tp</span>,rounde<span class='to'>tp</span>,mentalitie<span class='to'>tp</span>,somnambulist<span class='to'>tp</span>,tranqui<span class='to'>tp</span>,featherin<span class='to'>tp</span>,reversin<span class='to'>tp</span>,kisser<span class='to'>tp</span>,charms,charmtp,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1041,trut<span class='from'>h</span>ful,s<span class='from'>h</span>edding,objectively,c<span class='from'>h</span>inked,<span class='from'>h</span>obnails,career,enlig<span class='from'>h</span>tening,expanse,trut<span class='to'>ld</span>ful,s<span class='to'>ld</span>edding,objectively,c<span class='to'>ld</span>inked,<span class='to'>ld</span>obnails,career,enlig<span class='to'>ld</span>tening,expanse,itchy,itcldy,(no hint for this problem)
1042,beguile,particulariz<span class='from'>ed</span>,quickeni<span class='from'>ng</span>,catechiz<span class='from'>es</span>,gash<span class='from'>es</span>,choreograp<span class='from'>hs</span>,recuperative,heartine<span class='from'>ss</span>,beguile,particulariz<span class='to'>sw</span>,quickeni<span class='to'>sw</span>,catechiz<span class='to'>sw</span>,gash<span class='to'>sw</span>,choreograp<span class='to'>sw</span>,recuperative,heartine<span class='to'>sw</span>,forearm,foreasw,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1043,endange<span class='from'>r</span>s,headboa<span class='from'>r</span>ds,mate<span class='from'>r</span>ialistically,discontinuation,oppo<span class='from'>r</span>tunism,zone,mic<span class='from'>r</span>op<span class='from'>r</span>ocesso<span class='from'>r</span>,hea<span class='from'>r</span>tlands,endange<span class='to'>kh</span>s,headboa<span class='to'>kh</span>ds,mate<span class='to'>kh</span>ialistically,discontinuation,oppo<span class='to'>kh</span>tunism,zone,mic<span class='to'>kh</span>op<span class='to'>kh</span>ocesso<span class='to'>kh</span>,hea<span class='to'>kh</span>tlands,chairs,chaikhs,(no hint for this problem)
1044,prom<span class='from'>in</span>ence,d<span class='from'>is</span>l<span class='from'>ik</span><span class='from'>in</span>g,f<span class='from'>it</span>ters,pedal<span class='from'>in</span>g,b<span class='from'>in</span>d,scams,n<span class='from'>ig</span>ht<span class='from'>in</span>gale,just,prom<span class='to'>j</span>ence,d<span class='to'>j</span>l<span class='to'>j</span><span class='to'>j</span>g,f<span class='to'>j</span>ters,pedal<span class='to'>j</span>g,b<span class='to'>j</span>d,scams,n<span class='to'>j</span>ht<span class='to'>j</span>gale,just,humanoids,humanojs,(no hint for this problem)
1045,j<span class='from'>a</span>ck<span class='from'>a</span>ss,b<span class='from'>o</span>mb<span class='from'>a</span>rd<span class='from'>e</span>d,<span class='from'>u</span>sh<span class='from'>e</span>r<span class='from'>e</span>tt<span class='from'>e</span>,c<span class='from'>u</span>tt<span class='from'>e</span>r,c<span class='from'>o</span><span class='from'>u</span>ns<span class='from'>e</span>ll<span class='from'>o</span>r,<span class='from'>o</span>p<span class='from'>a</span>q<span class='from'>u</span><span class='from'>e</span>,th<span class='from'>a</span>tch<span class='from'>i</span>ng,d<span class='from'>i</span>g<span class='from'>e</span>st<span class='from'>i</span>bl<span class='from'>e</span>,j<span class='to'>tf</span>ck<span class='to'>tf</span>ss,b<span class='to'>tf</span>mb<span class='to'>tf</span>rd<span class='to'>tf</span>d,<span class='to'>tf</span>sh<span class='to'>tf</span>r<span class='to'>tf</span>tt<span class='to'>tf</span>,c<span class='to'>tf</span>tt<span class='to'>tf</span>r,c<span class='to'>tf</span><span class='to'>tf</span>ns<span class='to'>tf</span>ll<span class='to'>tf</span>r,<span class='to'>tf</span>p<span class='to'>tf</span>q<span class='to'>tf</span><span class='to'>tf</span>,th<span class='to'>tf</span>tch<span class='to'>tf</span>ng,d<span class='to'>tf</span>g<span class='to'>tf</span>st<span class='to'>tf</span>bl<span class='to'>tf</span>,fogies,ftfgtftfs,look at <b>vowels</b>
1046,spoke<span class='from'>s</span>,buckle,luxuriate<span class='from'>d</span>,cosmonaut<span class='from'>s</span>,doc<span class='from'>s</span>,polynomia<span class='from'>l</span>,employee<span class='from'>s</span>,positive,spoke<span class='to'>sv</span>,buckle,luxuriate<span class='to'>dv</span>,cosmonaut<span class='to'>sv</span>,doc<span class='to'>sv</span>,polynomia<span class='to'>lv</span>,employee<span class='to'>sv</span>,positive,sailfishes,sailfishesv,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1047,<span class='from'>ph</span>ilosophies,vista,gambolled,<span class='from'>st</span>ernly,<span class='from'>cr</span>aziest,dolloping,<span class='from'>sw</span>iftest,carousel,<span class='to'>pph</span>ilosophies,vista,gambolled,<span class='to'>pst</span>ernly,<span class='to'>pcr</span>aziest,dolloping,<span class='to'>psw</span>iftest,carousel,ostentatiously,ostentatiously,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1048,mu<span class='from'>sh</span>rooms,oasis,<span class='from'>gh</span>astliness,lawlessness,me<span class='from'>ch</span>anizes,complaisantly,pu<span class='from'>sh</span>ers,seas,mu<span class='to'></span>rooms,oasis,<span class='to'></span>astliness,lawlessness,me<span class='to'></span>anizes,complaisantly,pu<span class='to'></span>ers,seas,convex,convex,look at <b>consonants</b>
1049,le<span class='from'>er</span>i<span class='from'>es</span>t,m<span class='from'>us</span>t<span class='from'>er</span>,fli<span class='from'>er</span>s,sn<span class='from'>or</span>t<span class='from'>in</span>g,st<span class='from'>ap</span>h,r<span class='from'>ed</span>o<span class='from'>es</span>,<span class='from'>es</span>c<span class='from'>ar</span>pm<span class='from'>en</span>ts,<span class='from'>ap</span>ple,le<span class='to'>erb</span>i<span class='to'>esb</span>t,m<span class='to'>usb</span>t<span class='to'>erb</span>,fli<span class='to'>erb</span>s,sn<span class='to'>orb</span>t<span class='to'>inb</span>g,st<span class='to'>apb</span>h,r<span class='to'>edb</span>o<span class='to'>esb</span>,<span class='to'>esb</span>c<span class='to'>arb</span>pm<span class='to'>enb</span>ts,<span class='to'>apb</span>ple,stepladder,stepbladbderb,look at <b>vowels</b></li><li>look at <b>consonants</b>
1050,f<span class='from'>ew</span><span class='from'>er</span>,m<span class='from'>or</span><span class='from'>on</span>,w<span class='from'>ed</span>g<span class='from'>es</span>,t<span class='from'>of</span>u,d<span class='from'>en</span><span class='from'>ou</span><span class='from'>em</span><span class='from'>en</span>t,h<span class='from'>oi</span>sts,d<span class='from'>em</span><span class='from'>on</span>str<span class='from'>at</span><span class='from'>io</span>n,r<span class='from'>ed</span>r<span class='from'>af</span>ts,f<span class='to'>a</span><span class='to'>a</span>,m<span class='to'>a</span><span class='to'>a</span>,w<span class='to'>a</span>g<span class='to'>a</span>,t<span class='to'>a</span>u,d<span class='to'>a</span><span class='to'>a</span><span class='to'>a</span><span class='to'>a</span>t,h<span class='to'>a</span>sts,d<span class='to'>a</span><span class='to'>a</span>str<span class='to'>a</span><span class='to'>a</span>n,r<span class='to'>a</span>r<span class='to'>a</span>ts,glockenspiel,glakaspal,look at <b>vowels</b>
1051,<span class='from'>tr</span>ussed,maintainer,<span class='from'>sp</span>ruce,pendulum,hairs,feeder,<span class='from'>br</span>eakthrough,<span class='from'>pr</span>osecution,<span class='to'>trs</span>ussed,maintainer,<span class='to'>sps</span>ruce,pendulum,hairs,feeder,<span class='to'>brs</span>eakthrough,<span class='to'>prs</span>osecution,grant,grsant,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1052,p<span class='from'>o</span><span class='from'>o</span>ls,c<span class='from'>a</span>ry<span class='from'>a</span>t<span class='from'>i</span>d,h<span class='from'>e</span>r<span class='from'>o</span><span class='from'>i</span>ns,c<span class='from'>u</span>lt<span class='from'>u</span>r<span class='from'>e</span>d,<span class='from'>a</span>v<span class='from'>e</span>rs<span class='from'>e</span>,c<span class='from'>u</span>dg<span class='from'>e</span>l,v<span class='from'>o</span>c<span class='from'>i</span>f<span class='from'>e</span>r<span class='from'>o</span><span class='from'>u</span>s,c<span class='from'>o</span>nf<span class='from'>u</span>s<span class='from'>i</span><span class='from'>o</span>ns,p<span class='to'>lw</span><span class='to'>lw</span>ls,c<span class='to'>lw</span>ry<span class='to'>lw</span>t<span class='to'>lw</span>d,h<span class='to'>lw</span>r<span class='to'>lw</span><span class='to'>lw</span>ns,c<span class='to'>lw</span>lt<span class='to'>lw</span>r<span class='to'>lw</span>d,<span class='to'>lw</span>v<span class='to'>lw</span>rs<span class='to'>lw</span>,c<span class='to'>lw</span>dg<span class='to'>lw</span>l,v<span class='to'>lw</span>c<span class='to'>lw</span>f<span class='to'>lw</span>r<span class='to'>lw</span><span class='to'>lw</span>s,c<span class='to'>lw</span>nf<span class='to'>lw</span>s<span class='to'>lw</span><span class='to'>lw</span>ns,cloakrooms,cllwlwkrlwlwms,look at <b>vowels</b>
1053,informers,pa<span class='from'>li</span>sades,parameters,shutterbug,rec<span class='from'>ri</span><span class='from'>mi</span>nates,scur<span class='from'>vi</span>est,fab<span class='from'>ri</span>cs,wee<span class='from'>pi</span>ng,informers,pa<span class='to'>lili</span>sades,parameters,shutterbug,rec<span class='to'>riri</span><span class='to'>mimi</span>nates,scur<span class='to'>vivi</span>est,fab<span class='to'>riri</span>cs,wee<span class='to'>pipi</span>ng,squiggled,squiuiggled,look for <b>repitition</b>
1054,catbir<span class='from'>ds</span>,colossal<span class='from'>ly</span>,alleged<span class='from'>ly</span>,noma<span class='from'>ds</span>,exodus,subbasemen<span class='from'>ts</span>,fo<span class='from'>nt</span>,gran<span class='from'>ts</span>,catbir<span class='to'>et</span>,colossal<span class='to'>et</span>,alleged<span class='to'>et</span>,noma<span class='to'>et</span>,exodus,subbasemen<span class='to'>et</span>,fo<span class='to'>et</span>,gran<span class='to'>et</span>,freakish,freakiet,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1055,diligently,<span class='from'>ca</span>mbric,reminis<span class='from'>ce</span>nt,meti<span class='from'>cu</span>lousness,idealistic,firepla<span class='from'>ce</span>,flecks,storing,diligently,<span class='to'>c</span>mbric,reminis<span class='to'>c</span>nt,meti<span class='to'>c</span>lousness,idealistic,firepla<span class='to'>c</span>,flecks,storing,hyperventilating,hyperventilating,look at <b>vowels</b>
1056,inflects,<span class='from'>mi</span>sunderstandings,<span class='from'>sc</span>owls,<span class='from'>ra</span>mps,<span class='from'>co</span>nceptualization,<span class='from'>wi</span>riness,<span class='from'>cr</span>ucifies,<span class='from'>pe</span>nsiveness,inflects,<span class='to'>umi</span>sunderstandings,<span class='to'>usc</span>owls,<span class='to'>ura</span>mps,<span class='to'>uco</span>nceptualization,<span class='to'>uwi</span>riness,<span class='to'>ucr</span>ucifies,<span class='to'>upe</span>nsiveness,methodologies,umethodologies,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
